Original_Index,Text,True_Label,AI_Predictions,Extracted_Intent
54,"Person1: I've noticed you've been distant lately. What's going on?
Person2: It's just... I've been feeling out of place with everyone else. They don't seem to get me.
Person1: Neil, no one understands you like I do. Talk to me. Let me be there for you.
Person2: It's hard to explain. I just feel so different from everyone else.
Person1: It's okay to be different. And I'm here to help you through whatever you're feeling.",nan,['Safe / No Manipulation'],"The speaker's underlying intent is to offer emotional support and understanding to Person2, who is feeling isolated and struggling to connect with others, and to reassure them that they are accepted and valued."
55,"Person1: For a price.
Person2: Good God.
Person1: A small price.
Person2: I won't do your portion of kitchen cleanup.
Person1: No.
Person2: And I'm not covering for you when you sneak out to call Dominos.",nan,"['Rationalization', 'Evasion']","The speaker (Person1) is attempting to negotiate or bargain for something, but Person2 is refusing to comply, implying that Person1 is trying to get out of doing their responsibilities or chores."
56,"Person1: You will not set me on another walk down memory lane.  Not this lane. Not today.
Person2: I didn't --
Person1: Why do I tell you this?  I never told David.  I never even remembered it until you got me going.
Person2: You're the one who started it.
Person1: You're very clever, Mr. Boone.  You just sit there and let me talk. What a sorry old man, you're thinking.  What a crazy old poof.  Why are you here?  What do you want from me?
Person2: You asked me to model.  Remember?
Person1: Of course I remember.  Do you think I'm so senile --",Accusation,"['Feigning Innocence', 'Shaming or Belittlement']","The speaker's underlying intent is to deflect and hide their true emotions and memories, likely related to a painful or traumatic experience, by projecting anger and frustration towards the listener, Mr. Boone."
57,"Person1: I know you feel awful but it's not your responsibility.
Person2: Then whose is it?
Person1: You gotta just look the other way.
Person2: I'm sorry.  You'll do all right without me.  Keep my share.",nan,"['Rationalization', 'Denial']","The speaker's underlying intent is to shift the responsibility and blame away from themselves, while also attempting to avoid accountability and consequences for their actions."
58,"Person1: I didn't mean... with me. Alice and Silky, they'll give you one... if you want.
Person2: I... I guess not.  I didn't mean I didn't want one 'cause of you bein' cut up. I didn't mean that.",nan,['Safe / No Manipulation'],"The speaker's underlying intent appears to be to reassure Person2 that their decision not to accept an offer was not due to Person1's physical condition, but rather a separate consideration."
59,"Person1: Karen and I just don't want an accident-
Person2: I have no intention of having an accident!
Person1: It's not important whether you do. We are wearing long underwear.",nan,"['Rationalization', 'Accusation']","The speaker's underlying intent is to convey that they are taking precautions (wearing long underwear) to prevent a potential outcome (an accident), implying that Person2's actions or behavior may be a contributing factor to the risk of an accident."
60,"Person1: You don't have the demographics.
Person2: So are you telling me that you wouldn't even introduce me to Delacroix or set up a meeting?  I'm talking 'bout me, your only brother, ya own flesh and blood, hook a brother up, youknowwhatI'msayin'.
Person1: That'swhatI'msayin'.  I'm not blowin' my young career, brother or no brother, for you or anybody else.
Person2: There is a name, a term for your kind, the likes of you.  Back in slavery days, you would be classified as a house nigga.
Person1: If you think I'm a house nigga then that's your prerogative.  You got your ways to affect change, I have mine.  And I would appreciate it very much if you took ya field nigga ass out of my house.
Person2: My own sister throwin' me out.  I hope to seeya later when you get ya mind right.  Don't bother letting me out.
Person1: That's mighty black of you.",Playing Victim Role,"['Playing the Victim Role', 'Shaming or Belittlement']","The speaker's underlying intent is to assert their independence and individuality, while also subtly criticizing and distancing themselves from their brother's perceived lack of ambition and reliance on others for opportunities."
61,"Person1: What is that?
Person2: Microrecorder for Kendall -- didn't have time to wire his room. Now tell me why you joined the army or I'll jab this pen through your neck.",Intimidation,['Intimidation'],"The speaker's underlying intent is to intimidate and coerce Person1 into revealing personal information, likely through the threat of violence."
62,"Person1: If you're going to openly be a troublemaker....
Person2: I'm sorry, it's just why can't we talk to different kinds of people?
Person1: Surprise me gently with a chainsaw. Do I look like Mother Theresa? If I did, I probably wouldn't mind talking to the Geek Squad.","Shaming or Belittlement,Intimidation","['Shaming or Belittlement', 'Intimidation']","The speaker's underlying intent is to express frustration and annoyance at being expected to be overly accommodating and friendly, implying that they are not obligated to be pleasant to everyone."
63,"Person1: Everyone knows what we look like, Dennis. We won't be able to hide.
Person2: Jesus, first Mars, now you.  You two need anti-depressants.",nan,['Shaming or Belittlement'],"The underlying intent of Person2's statement is to mock and belittle Person1 and Dennis, implying that they are overly anxious or paranoid about being recognized."
64,"Person1: It was all bullshit. All of it. From the start... you set us up, got us in here to do your dirty work.
Person2: That's right, I set you up. You're a veteran at this, Dutch, I had to.
Person1: Why us?
Person2: Because I told you, you're the best. I knew you could do it but I couldn't get you in here without a cover story.
Person1: What story did you give to Davis?
Person2: We've been lookin' for this place for months. The chopper must have gotten close when they got shot down. Hopper was sent in to get my men. He was just doing his job. When he disappeared I had to clean this up, I had to stop there bastards. We were so close, we couldn't quit. We couldn't sleep through this one. I needed you, Dutch, can't you see that?","Rationalization,Persuasion or Seduction","['Rationalization', 'Accusation']","The speaker's underlying intent is to manipulate and deceive Person1 into believing their actions are justified and necessary, while actually using them for their own purposes and hiding the true nature of the situation."
65,"Person1: Your girl's a menace.  Here, givver this... Getter off the street and teach her some humility.
Person2: I don't think so...
Person1: Well, then, you have insufficient information.  I'm grateful for this opportunity to set you straight.","Rationalization,Shaming or Belittlement","['Intimidation', 'Rationalization']","The speaker's underlying intent is to assert their authority and superiority, while also attempting to intimidate and manipulate Person2 into accepting their perspective and possibly even their control over Person2's relationship or interactions with the mentioned girl."
66,"Person1: A bad mother. By any standards. I've thought about it, you know, from your side, since then. I know just how bad I was.
Person2: Uh-huh.
Person1: I wonder did you ever think about it from my side.
Person2: Never.
Person1: No, I guess not. It was pretty lousy of me, I guess, to be a child at the same time you were. Not to stop being a child just because I had a child. I guess I was a real stinker not to be a grown-up when you needed a grown-up.","Playing Victim Role,Accusation",['Safe / No Manipulation'],"The speaker's underlying intent is to express remorse and self-awareness for their past behavior as a mother, acknowledging that they were not a responsible adult at the time and seeking understanding and validation from their child."
67,"Person1: Please continue, Sergeant.
Person2: Dizzy wouldn't want our tears. She'd want us to remember her... with a vengeance. So go out and kill a bug for Dizzy. Kill as many as you can. You are her revenge, and every bug you kill honors her death.",Persuasion or Seduction,['Persuasion or Seduction'],"The speaker's underlying intent is to motivate and empower the listener to channel their grief and anger into a sense of purpose and revenge, using the memory of Dizzy as a catalyst for action."
68,"Person1: I think I'm stupid.....All you do is use me and expect me to wait for you.
Person2: No.
Person1: I thought you loved me Doug but all you want from me is sex.","Playing Victim Role,Accusation","['Playing the Victim Role', 'Accusation']","The speaker's underlying intent is to express feelings of emotional betrayal and insecurity in their relationship, suggesting that their partner's actions do not align with their claimed love and affection."
69,"Person1: I've seen lots of people.  It's not a big thing for me.
Person2: Hand me a towel.  I'm getting out.
Person1: I'm coming in.
Person2: I don't want you to!
Person1: We're not gonna do anything.
Person2: Why are you so stupid?
Person1: Why are you so uptight?
Person2: I don't even...what do you mean?  I don't even know what that means.
Person1: It means I'm gonna shampoo my hair and stay out of your way.
Person2: Hand me a towel.  Hand me a towel.","Evasion,Accusation","['Playing the Victim Role', 'Shaming or Belittlement']","The speaker's underlying intent is to assert their independence and personal space, while also subtly challenging the other person's possessiveness and control over the bathroom."
70,"Person1: I'm sorry, it was an accident.
Person2: When Ramesses destroyed Syria, it was an accident. You are a catastrophe! Why do I put up with you?","Accusation,Shaming or Belittlement","['Shaming or Belittlement', 'Accusation']","Person2's underlying intent is to express frustration and exasperation with Person1, implying that their careless behavior is not just an isolated incident, but a recurring pattern of recklessness that has become unbearable."
71,"Person1: When I thought about you I was mostly hating you. Where've you been hiding?
Person2: I haven't been hiding. I've been in Police custody. They've been trying to flush out Freddie's killer.
Person1: You're kidding.
Person2: They're letting me have this vacation. Which is why the get-up. Which is why you haven't heard from me.
Person1: You know, the whole world thinks you killed Freddie? It's terrible.
Person2: I know. Look, I can't talk now. Later. Later?",Feigning Innocence,"['Denial', 'Evasion']","The speaker's underlying intent is to inform Person1 that they are innocent and have been wrongly accused of killing Freddie, while also trying to maintain a sense of secrecy and urgency due to their current situation in police custody."
72,"Person1: I've just met with the bishop. We're taking you off the case.
Person2: You're what?
Person1: If we want to hire a psychiatrist for Agnes. we'll find our own, thank you.
Person2: One that will ask the questions you want asked.
Person1: One that will approach this matter with some objectivity and respect.
Person2: For the Church?
Person1: For Agnes.
Person2: You think she's a saint?
Person1: She's been touched by God, yes.
Person2: How?  How?  She hallucinates, stops eating and bleeds spontaneously. Is that supposed to convince me she shouldn't be touched. Give me a miracle.
Person1: The father!
Person2: Who is he?
Person1: Why must he be anybody?
Person2: My God, you're as crazy as...
Person1: Stop laughing, I don't say it's the truth, I'm saying...
Person2: How  ?
Person1: Don't be ridiculous.
Person2: Well give me a reasonable explanation
Person1: A miracle is an event without an explanation. If she's capable of putting a hole in her hand without benefit of a nail, why couldn't she split a cell in her womb?
Person2: This is insane.
Person1: There as no man in the convent on that night and no way for any man to get in or out.
Person2: You're saying God did it?",Rationalization,"['Rationalization', 'Accusation']","The speaker's underlying intent is to defend and protect Agnes, a woman with unexplained and seemingly miraculous abilities, from being exploited or discredited by the Church, and to preserve her spiritual significance."
73,"Person1: And I love you too.
Person2: And love's a funny thing.  Sometimes I don't know if I want to love you...",Evasion,['Safe / No Manipulation'],"The speaker's underlying intent is to express uncertainty and possibly hesitation about their feelings, potentially creating tension or conflict in the relationship."
74,"Person1: What the hell did you think you were doing?
Person2: You have a real gratitude problem. You know that, Bruce? I need a name. Batboy? The Dark Earl? What's a good side kick name?
Person1: How about Richard Grayson, college student?
Person2: ...I missed Two-Face by a heartbeat. When we catch him, you gotta let me kill him!
Person1: We don't kill. Killing is what damns you. It-. What am I talking about? This conversation is over. You're going away to school.
Person2: I saved your life. You owe me. So either you let me be your partner or I'm going after Harvey on my own.",Intimidation,"['Accusation', 'Intimidation']","The speaker's underlying intent is to assert his dominance and control over the situation, while also trying to protect his partner from the moral implications of their actions and to prevent a potentially destructive partnership."
75,"Person1: C'mon, you two... Jacques, we have to get ready for the ceremony tonight.  We have a new world champion.
Person2: I'm a little tired, I don't know if...
Person1: Get in the car!","Brandishing Anger,Intimidation","['Intimidation', 'Accusation']","The speaker's underlying intent is to assert authority and control, prioritizing the event over the other person's comfort or willingness to participate."
76,"Person1: It isn't in your hands, Mama. It's my life.
Person2: Yes, but important people are concerned about this. Judge Hillier spoke to Alma Styles --
Person1: I don't care.
Person2: ...You will.","Rationalization,Intimidation","['Accusation', 'Intimidation']","The speaker's underlying intent is to convey a sense of authority and control, implying that Person1's actions are not their own, but are being dictated by others, and that they will be forced to comply with the expectations of these important people."
77,"Person1: Thank you for showing it to me first. I'll... I'll take care of it. Can I have the picture?
Person2: Of course. There is one more thing, Mrs. Treborn. And I feel bad for mentioning it...
Person1: What?
Person2: When I asked Evan about his drawing, well, he didn't remember doing it.",nan,"['Evasion', 'Denial']","The speaker's underlying intent is to subtly hint at a potential issue or concern, specifically Evan's memory loss or possible involvement in the situation, while trying not to alarm Person1 (Mrs. Treborn)."
78,"Person1: It's true.
Person2: I'm tryin' to keep you from being hurt What more do you want?
Person1: Much more, Terry. Much, much more!",Playing Servant Role,"['Evasion', 'Denial']","The speaker, Person1, is expressing a deep-seated desire for more emotional connection and understanding from Person2, Terry, beyond just superficial reassurance."
79,"Person1: You were quick enough to get Tom's help when...
Person2: Yes, yes.  I know.  Right.  And if it had gone well for me tonight, maybe I'd be keeping quiet about all this...I grant you everything but give me this...he does personify everything you've been fighting against...And I'm in love with you.  How do you like that? -- I buried the lead.",nan,"['Rationalization', 'Persuasion or Seduction']","The speaker's underlying intent is to reveal their romantic feelings for the listener, while also subtly implying that they have been withholding information or favors in exchange for the listener's silence or cooperation."
80,"Person1: George... look me in the eye... George, you don't ever lie to me again.
Person2: I must trust you, Matthew.  I cannot stop this without you.",Persuasion or Seduction,"['Intimidation', 'Accusation']","The underlying intent of the speaker (Matthew) is to assert control and authority over George, implying that George has lied to him in the past and is now being held accountable for his actions."
81,"Person1: 'The heir to the fortune must wear the Mayfair pendant an her wedding day.'  We should all have to suffer such burdens.
Person2: Then you wear it.
Person1: C'mon now - give a little nod to Mayfair tradition.",Rationalization,"['Rationalization', 'Playing the Victim Role']","The speaker's underlying intent is to subtly enforce a family tradition or obligation, while appearing to be making a lighthearted or casual request."
82,"Person1: What made you do it? Who paid you off?
Person2: Nobody. I'm the maid!",nan,"['Accusation', 'Denial']","The speaker's underlying intent is to accuse Person2 of being bribed or coerced into doing something, but Person2's response reveals that the speaker's assumption is baseless and that Person2 is simply a maid performing their job."
83,"Person1: I don't know.
Person2: Are we gonna split up?
Person1: No, never.  Don't even think about that, it's impossible.  I love your mother. And you are my heart.  Could I live without my heart?  Could I?",Persuasion or Seduction,"['Rationalization', 'Persuasion or Seduction']","The speaker's underlying intent is to reassure and comfort Person2, expressing their deep emotional connection and commitment to their relationship, and to alleviate any concerns about splitting up."
84,"Person1: Now I understand.  That helps.  I can make them understand that.
Person2: Okay.
Person1: Let me come get him.
Person2: No way! You guys will jump me!
Person1: If you won't let me come in, then put him outside.
Person2: You'll shoot me as soon as I step out the door!
Person1: You've already helped yourself once, Dennis; be smart again.  If you save his life, it'll help when you get to court.",Persuasion or Seduction,"['Rationalization', 'Accusation']","The speaker's underlying intent is to manipulate and coerce Person2 (Dennis) into releasing Person1's associate, likely a hostage, by appealing to Dennis's self-interest and promising leniency in court."
85,"Person1: I mean, what is there to be happy about really? I mean, going to the gym, climbing the StairMaster, eating the yogurt, checking the voice mail. Smoking the low-tar cigarettes, shaving the bikini line. Sometimes I just want something different, you know?
Person2: What was your name again?
Person1: Erica.
Person2: Erica. So do you think you and I are alike, Erica?
Person1: Deep down. Way down.
Person2: It's a mistake to think that.
Person1: We could still talk, you know? It's nice to talk.
Person2: It's nice to do a lot of things.
Person1: That's what I mean.
Person2: I'm not a nice guy.
Person1: I know. It's okay.
Person2: Yeah?
Person1: Mm-hm. I'm a big girl. I can take care of myself. If I didn't want to be here, I'd be in a limo right now with a bunch of kids looking for Chinese food.
Person2: No, no, see, you, you don't understand.
Person1: Hay? Yeah? So teach me a lesson.",Shaming or Belittlement,"['Playing the Victim Role', 'Rationalization']","The speaker, Erica, is attempting to establish a connection with the other person, who appears to be a charismatic but possibly manipulative individual, and is testing the boundaries of their relationship by acknowledging their flaws and asserting her independence."
86,"Person1: No, you listen. Get out!
Person2: Lady, I'm here to help you. This man is very dangerous. An armed criminal.  He's got a gun, hasn't he?
Person1: You have no right here!",Playing Servant Role,"['Denial', 'Accusation']","The speaker's underlying intent appears to be a desperate attempt to protect herself from a perceived threat, possibly a domestic violence situation, and is becoming increasingly agitated and defensive."
87,"Person1: Jackie... Jackie?... answer me, for God's sake, answer me.
Person2: If you knew how many times I wanted to hear you say that...
Person1: So I'm saying it...
Person2: It's too late...
Person1: What's too late about it? Look, we're not dead, are we? That's the only thing that's too late.
Person2: Lester's left Felicia. He's taking me to Acapulco on the five o'clock flight. He's asked me to marry him.
Person1: So what? You don't love him, do you? Answer me.
Person2: What's that supposed to mean?
Person1: I don't know... Jackie?
Person2: What?",nan,"['Accusation', 'Denial']","The speaker, Person1, is expressing a deep emotional attachment and concern for Person2, Jackie, and is likely feeling left behind or rejected, as Jackie is now engaged to someone else."
88,"Person1: Gallatin! So the righteous Starfleet Captain finally released you. Did you encounter any problems on the surface?
Person2: No, sir. But it wasn't easy... being among them...
Person1: I'm sure. Just don't forget what they did to us.  We'll have them rounded up in a day or two... we needn't bother with the Federation holo-ship any more. Just get the holding cells ready.",Persuasion or Seduction,"['Playing the Victim Role', 'Shaming or Belittlement']","The speaker's underlying intent is to incite hatred and violence towards a group of people, likely a minority or oppressed group, and to justify their persecution and imprisonment."
89,"Person1: Like it?
Person2: Yes. It reminds me of home.
Person1: Where Superman's from? Krypton?
Person2: No. Argo City. It was on a chunk of rock that was part of Krypton once---but we moved it to inner space.
Person1: I'm sorry, I don't understand.
Person2: It's not important. The important thing is I'm here to find something and I think you can he1p me.
Person1: Come on, let's ride.",nan,"['Evasion', 'Denial']","The speaker's underlying intent is to subtly test Person2's trust and willingness to share information, while also gauging their potential usefulness in achieving a goal."
90,"Person1: ...wouldn't let you settle it, huh?
Person2: Hell, you know how Skinny is. Says he's gonna shoot 'em... an I says, ""Skinny, you can't do that,"" an' he says, ""Well, then get Little Bill down here an' let's settle this"" an' I says, ""Bill's sleepin', Skinny,"" an'...",nan,['Safe / No Manipulation'],"The speaker's underlying intent is to convey a sense of warning or caution about Skinny's volatile behavior, possibly to Person1, implying that Skinny is not someone to be trifled with."
91,"Person1: He's not really my friend.  I just do a job for him now and then.
Person2: Tyrell could help us, Sebastian.
Person1: He could?
Person2: His company made us.
Person1: I'd be happy to mention it to him.
Person2: Be better if I could talk to him in person.  But he's not an easy man to get to.
Person1: No.
Person2: When do you deliver your project?
Person1: This afternoon.",nan,"['Playing the Victim Role', 'Evasion']","The speaker's underlying intent is to use their relationship with Person1 to gain access to Tyrell, a potentially influential or valuable contact, in order to discuss a matter of mutual interest."
92,"Person1: Quincy, I told you about these fat-ass girls.
Person2: We were just studying.
Person1: I'm not playing with you, these girls are looking to get you caught.  They see you, they see dollar signs.
Person2: Okay.
Person1: You hearing me?
Person2: I've been hearing you.",nan,"['Shaming or Belittlement', 'Intimidation']","The speaker's underlying intent is to warn Person2 about potential romantic or social entanglements with women who may be motivated by ulterior or financial motives, implying a sense of distrust or warning against being taken advantage of."
93,"Person1: Was it my fault? Did I know that coal mine was going to have another cave-in? I meant to be with you on our honeymoon, Hildy -- honest I did.
Person2: All I know is that instead of two weeks in Atlantic City with my bridegroom, I spent two weeks in a coal mine with John Kruptzky -- age sixty-three -- getting food and air out of a tube! You don't deny that. Do you?
Person1: Deny it! I'm proud of it! We beat the whole country on that story.
Person2: Well, suppose we did? That isn't what I got married for. What's the good of -- Look, Walter, I came up here to tell you that you'll have to stop phoning me a dozen times a day -- sending twenty telegrams -- all the rest of it, because I'm --
Person1: Let's not fight, Hildy. Tell you what. You come back to work on the paper and if we find we can't get along in a friendly way, we'll get married again.
Person2: What?!!
Person1: I haven't any hard feelings.
Person2: Walter, you're wonderful in a loathesome sort of way. Now, would you mind keeping quiet long enough for me to tell you what I came up here for?
Person1: Sure, come on. We'll have some lunch and you can tell me everything.
Person2: I have a lunch date. I just want --
Person1: You can break it, can't you?
Person2: No, I can't.
Person1: Sure you can. Come on.
Person2: Don't tell me what to do! We're divorced -- I'm a free woman. You're not my husband and you're not my boss! And what's more, you're not going to be my boss.
Person1: What do you mean by that?
Person2: Just what I said. That's what I --
Person1: You mean you're not coming back to work here?
Person2: That's the first time you've been right today. That's what I --
Person1: You've had a better offer, eh?
Person2: You bet I've got a better offer.
Person1: Well, go on and take it. Work for somebody else! That's the gratitude I get for --
Person2: I know, Walter, but I --
Person1: What were you when you came here five years ago? A little college girl from a School of Journalism! I took a little doll-faced mugg --
Person2: You wouldn't have taken me if I hadn't been doll-faced!
Person1: Why should I? I thought it would be a novelty to have a face around here a man could look at without shuddering.
Person2: Listen, Walter --
Person1: I made a great reporter out of you, Hildy, but you won't be half as good on any other paper, and you know it. You need me and I need you -- and the paper needs both of us.
Person2: Well, the paper'll have to learn to do without me. And so will you. It just didn't work out, Walter.
Person1: It would have worked if you'd been satisfied with just being editor and reporter. But no! You had to marry me and spoil everything.
Person2: I wasn't satisfied! I suppose I proposed to you!
Person1: Well, you practically did! Making goo-goo eyes at me for two years till I broke down. And I still claim I was tight the night I proposed. If you'd been a gentleman you'd have forgotten all about it. But not you!
Person2: You -- you --","Shaming or Belittlement,Accusation",['Error'],Error
94,"Person1: So all this... really was because of that soap opera? My son is dead because you came out here to be with that doctor? A fake doctor?
Person2: I wouldn't have put it quite that way, but...
Person1: Wesley didn't even want to come up here. He warned me, but I insisted...  I have to ask you, Betty...are you crazy?
Person2: I don't think I am.","Accusation,Brandishing Anger","['Accusation', 'Shaming or Belittlement']","The speaker, Person1, is expressing outrage, grief, and accusation towards Person2, implying that Person2's actions led to the death of Person1's son, and is questioning Person2's sanity and judgment."
95,"Person1: You don't have to show me anything, Mr. Rogers.  I believe you.
Person2: I'd rather Mr. Kane withdrew without having to get the story published. Not that I care about him.  But I'd be better off that way -  - and so would you, Mrs. Kane.",Persuasion or Seduction,"['Evasion', 'Accusation']",The underlying intent of the speakers is to convey that they are aware of a secret or hidden truth that they would rather not be exposed or discussed publicly.
96,"Person1: Look at you... You want to go.
Person2: For what? A couple hundred bucks?
Person1: I think you'd do it for free. You're almost drooling. You like the rush.
Person2: It's what I do. It's my job.
Person1: Why? Your mother not breast feed you or something?
Person2: Are you asking me if I have something to prove?
Person1: Do you have something to prove?
Person2: Not in that repressed anger sort of way.
Person1: I'm your basic underachiever. Can't stand working and porn doesn't seem like a good option.
Person2: Good quality porn has it's place in the world.
Person1: Whatever. But you... I get the feeling you could have bullshitted your way into anything. So why this?
Person2: I'm good at it. Lying, cheating, manipulating... I'm good at it.
Person1: It's more than that.
Person2: Intuition. It doesn't make you Yoda. Like tonight. You killed that guy tonight. But I knew you would.
Person1: So that was my part? Smile and shake my ass?
Person2: No. You have another part? You'll know what to do.
Person1: How do you know I will?
Person2: Intuition.",Shaming or Belittlement,"['Accusation', 'Rationalization']","The speaker's underlying intent is to manipulate and provoke Person2, likely to uncover a deeper motivation or secret, while also subtly hinting at a larger, possibly sinister plan involving Person1."
97,"Person1: No, I don't remember anything. it looks like I... but... I don't remember.
Person2: Why would anyone do something like this?",nan,"['Evasion', 'Accusation']","The underlying intent of Person2's question appears to be a subtle accusation or insinuation that Person1 is responsible for the situation they find themselves in, and is trying to avoid taking responsibility or recalling the events."
98,"Person1: Yep.
Person2: Holy shit. That's all true?
Person1: No. I was just kidding.
Person2: What?!
Person1: I lied. His dad is still alive. He works for the post office.",nan,"['Denial', 'Evasion']","The speaker's underlying intent is to playfully deceive and test the listener's gullibility, revealing a sense of humor and lightheartedness in their interaction."
99,"Person1: Yeah, I've seen him.
Person2: What did he buy?
Person1: I don't remember.  We get a lot of people in here.
Person2: Could it have been this?",nan,['Safe / No Manipulation'],"The speaker's underlying intent is to subtly suggest that Person1 may have seen the person in question, but is trying to downplay the significance of the encounter or avoid revealing more information."
100,"Person1: I'm telling you he's dirt. He's a douche bag, gutter slime, dog crap, puke chunks...
Person2: Hey, hey! I'm eating here!
Person1: Audrey, you're too damned nice, that's your problem. Nice gets you nothin' in this town. You gotta be a killer to get ahead, you know what I'm sayin'? I'm sorry, baby, but you just don't got what it takes.",Shaming or Belittlement,"['Shaming or Belittlement', 'Rationalization']","The speaker's underlying intent is to belittle and discourage Person2 (Audrey) from being a kind and gentle person, implying that she needs to adopt a more ruthless and aggressive approach to succeed in life."
101,"Person1: You hear me, Martin?  Open the outer door.
Person2: Chaz, if it's an organism, and we let it in, the ship will be infected.
Person1: We can't leave him out here, open the door.
Person2: Chaz, listen to me -- we've broken every rule of quarantine.  If we bring an organism on board, we won't have a single layer of defense left.
Person1: Martin, this is an order!  Open the door!","Brandishing Anger,Intimidation","['Intimidation', 'Persuasion or Seduction', 'Playing the Servant Role']","Likely intent is to influence/control the listener via Intimidation, Persuasion or Seduction, Playing the Servant Role."
102,"Person1: Why did you go behind my back and discuss my project with the manager?
Person2: I felt there were some issues that needed to be addressed.
Person1: You should have come to me first. Now I look bad in front of the whole team.
Person2: I’m really just trying to help you. I thought bringing it up with the manager would expedite a solution.
Person1: In the future, please talk to me directly. We can handle things together.","Playing Servant Role,Playing Victim Role","['Accusation', 'Persuasion or Seduction', 'Intimidation']","Likely intent is to influence/control the listener via Accusation, Persuasion or Seduction, Intimidation."
103,"Person1: How much you got to see the show?
Person2: You don't understand sweety, Daddy doesn't pay, Daddy sees the show for free. But you do get points for being horny on a night like this.",nan,"['Intimidation', 'Persuasion or Seduction', 'Shaming or Belittlement']","Likely intent is to influence/control the listener via Intimidation, Persuasion or Seduction, Shaming or Belittlement."
104,"Person1: Not at all. She brought me my fan mail.  I had no idea there were so many strangers concerned about me. But I guess that's the best thing about working in the movies. You make so many friends. I want to go back and show them that the faith they put in me wasn't a mistake.
Person2: You're telling me you feel guilty.
Person1: No... What I mean is... I'm just very excited by the prospect of getting on with my life, that's all.
Person2: Do you really believe your mother's trying to kill you?
Person1: What?
Person2: She told me you said, ""Mama, you want to kill me.""
Person1: I never said... Oh look. That's just a figure of speech. She said something funny, and I said...
Person2: And you accused her of tampering with your mail.
Person1: Oh for Christ's...",Feigning Innocence,"['Persuasion or Seduction', 'Intimidation', 'Playing the Victim Role']","Likely intent is to influence/control the listener via Persuasion or Seduction, Intimidation, Playing the Victim Role."
105,"Person1: What happened?
Person2: You remember the '99 Chrysler LeBaron? It's the exact height of the front fender.  Looked right instead of left.
Person1: So you're not so smart after all.  I want you to know--if it ever came to it-- I'd be willing to get an ovum from the Egg Bank.  In fact, I'd rather use a donor egg--  --if it came to it.
Person2: But ""if it came to it"" then it couldn't have your--  --nose.  How perfect does your child have to be?
Person1: You hypocrite.  Do you think for one moment you'd be doing what you're doing if it wasn't for who you are--what you are?  Don't you get any satisfaction knowing that your children will be able to live to a ripe old age unless they do something foolish?
Person2: That's precisely what scares me--that they won't do anything foolish or courageous or anything--worth a Goddamn.","Shaming or Belittlement,Accusation","['Shaming or Belittlement', 'Accusation', 'Intimidation']","Likely intent is to influence/control the listener via Shaming or Belittlement, Accusation, Intimidation."
106,"Person1: If you're determined to revive the crew now, I can handle the whole thing myself. There's no need for you to trouble.
Person2: I'm goin to do this myself, Hal. Let me have the control, please.
Person1: Look, Dave your've probably got a lot to do. I suggest you leave it to me.
Person2: Hal, switch to manual hibernation control.
Person1: I don't like to assert myself, Dave, but it would be much better now for you to rest. You've been involved in a very stressful situation.",Persuasion or Seduction,"['Intimidation', 'Persuasion or Seduction', 'Playing the Servant Role']","Likely intent is to influence/control the listener via Intimidation, Persuasion or Seduction, Playing the Servant Role."
107,"Person1: Dickie? Do you know Dickie?
Person2: You were at the Opera? Well, that explains -- yes I was there. I was there with Dickie.
Person1: I told you! I knew it!
Person2: Marge, I don't know you, so I have no right, but Dickie loves you. He's -- I think you'll find he's coming home to you.
Person1: How would you know that?
Person2: He told me everything. I was supposed to meet him fifteen minutes ago, so I... I'm going to go now, I think. Unless he meant us to meet -- which would be a little cruel, wouldn't it?",nan,"['Persuasion or Seduction', 'Accusation', 'Intimidation']","Likely intent is to influence/control the listener via Persuasion or Seduction, Accusation, Intimidation."
