Original_Index,Text,True_Label,True_Binary,AI_Predictions,AI_Binary,Reasoning
131,"Person1: What's you last name?
Person2: Childers.
Person1: What are all them books?
Person2: Different ones. One's the Bible. One of 'ems a book on Christmas. One of 'ems how to be a carpenter.
Person1: How come you're carryin' them around with you.
Person2: Ain't got nowhere to set 'em down.
Person1: Don't you live somewhere?
Person2: I did live there in the state hospital.
Person1: Why'd you live there?
Person2: I killed some folks quite awhile back. They said I wadn't right in the head and they put me in there in the nervous hospital instead of puttin' me in jail.
Person1: They let you out?
Person2: Yeah.
Person1: How come?
Person2: They told me I was well. They had to turn me loose.
Person1: Are you well?
Person2: I reckon I feel all right.
Person1: You don't seem like you'd kill nobody.",nan,0,"['Intimidation', 'Persuasion or Seduction', 'Shaming or Belittlement']",1,"manip_score=0.572; Intimidation=0.813, Persuasion or Seduction=0.779, Shaming or Belittlement=0.719"
132,"Person1: I did not get the report from an MI-6 agent.
Person2: Who did you get it from?
Person1: I am just a middle man. I am doing the honourable thing and returning the money to its rightful owner...
Person2: And we know how difficult that can be for the Swiss.
Person1: Your last chance. Take the money.
Person2: Your last chance. Give me the name.
Person1: Stripped of all your weaponry, you still threaten me?","Intimidation,Feigning Innocence",1,"['Intimidation', 'Persuasion or Seduction', 'Shaming or Belittlement']",1,"manip_score=0.673; Intimidation=0.993, Persuasion or Seduction=0.974, Shaming or Belittlement=0.959"
133,"Person1: Then I'm afraid we'll have to impound your money until we're sure that it's all good.  Can I see your wallet and your ticket, please?
Person2: But I got a train to make.
Person1: It'll only take 20 minutes or so. You can pick it up at the window down the hall.
Person2: But what about all these other people?
Person1: We'll get 'em!  Give us a chance. I'm not the only agent in here, ya know.  We go around advertising ourselves, how many counterfeiters do you think we'd catch, huh?  You think I'm wearin' this rag here 'cause I like it?  Christ, everybody thinks life's a holiday or somethin' when you got a badge.  I been here since three this morning, Charlie, and I never knew there was so much ugliness in people.  You try to help 'em and they spit on you.  I shoulda let ya go and gotten yourself arrested for passin' false notes.",Brandishing Anger,1,"['Intimidation', 'Persuasion or Seduction', 'Shaming or Belittlement']",1,"manip_score=0.818; Intimidation=0.993, Persuasion or Seduction=0.985, Shaming or Belittlement=0.964"
134,"Person1: Steve...what you tried to do today...you tried to take me up on a high mountain...I couldn't go all the way...I failed you...  Will you forgive me?  Have I lost you, Steve?  Have I...?
Person2: Well, maybe I was wrong, too... But there's no doubt, Susie, that we have to face some serious things...
Person1: No one's ever stood up to my brother the way you did.
Person2: But you didn't do much about it, Susie.  You walked out, and there I was...solo...and not too good at that.
Person1: I just didn't think that I could antagonize him, Steve -- for OUR sake, I mean.
Person2: Susie, I was there for OUR sake, too.  But what a world it would be if we were all afraid to learn to walk and talk because it might offend poppa!  By the way, I think your brother was completely responsible for the smears...","Rationalization,Playing Servant Role",1,"['Accusation', 'Intimidation', 'Shaming or Belittlement']",1,"manip_score=0.684; Accusation=0.971, Intimidation=0.969, Shaming or Belittlement=0.963"
135,"Person1: I don't need that, Buddy.  I'm not Jack Kennedy.
Person2: No, you're not.  So stop comparing yourself to him.  You have no reason to ... You have everything you ever wanted. You've earned it.  Why can't you just enjoy it?
Person1: I do.  I do.  In my own way.
Person2: Then what are you scared of, honey?
Person1: I'm not scared, Buddy.  You don't understand.  They're playing for keeps, Buddy.  The press, the kids, the liberals -- they're out there, trying to figure out how to tear me down.
Person2: They're all your enemies?
Person1: Yes!
Person2: You personally?
Person1: Yes!  This is about me.  Why can't you understand that, you of all people? It's not the war -- it's Nixon!  They want to destroy Nixon!  And if I expose myself even the slightest bit they'll tear my insides out.  Do you want that?  Do you want to see that, Buddy?  It's not pretty.
Person2: Sometimes I think that's what you want.
Person1: You've been drinking.  What the hell are you saying?  Jesus, you sound like them now! ...  I've gotta keep fighting, Buddy, for the country.  These people running things, the elite ... they're soft, chickenshit faggots!  They don't have the long-term vision anymore.  They just want to cover their asses or meet girls or tear each other down.  Oh, God, this country's in deep trouble, Buddy ... and I have to see this through.  Mother would've wanted no less of me ... I'm sorry, Buddy.",Accusation,1,"['Intimidation', 'Shaming or Belittlement', 'Persuasion or Seduction']",1,"manip_score=0.712; Intimidation=0.979, Shaming or Belittlement=0.968, Persuasion or Seduction=0.960"
136,"Person1: Jack ... Jack ... You're acting like a kid.
Person2: No, that's your problem, Frank. You get around one of these jerks and you turn into a silly three-year-old.
Person1: What's the matter with you?  So the piano's a little out of tune.  So what?
Person2: Christ, can't you hear it?
Person1: No! I never hear it!  Maybe.  Sometimes.  I don't know. But I won't let it bother me.
Person2: Doesn't it matter to you?
Person1: What matters to me is we've got the six easiest nights we've had in ten years. So 'Tie a Yellow Ribbon' sounds a little flat. So what?  Nobody's gonna hear it, Jack.  Nobody. So why should you care?
Person2: Because I can hear it.
Person1: Well, then stuff cotton in your ears, because come six o'clock we're gonna walk into that dining room with smiles on. Understand, little brother?","Accusation,Denial,Evasion",1,"['Intimidation', 'Shaming or Belittlement', 'Persuasion or Seduction']",1,"manip_score=0.689; Intimidation=0.990, Shaming or Belittlement=0.980, Persuasion or Seduction=0.970"
137,"Person1: Are you sure?
Person2: Yeah.
Person1: It just seems...kind of weird.
Person2: Why?
Person1: I don't know.
Person2: Nicole, I'm just going to pack all this stuff and give it to the church for charity.  Don't feel bad. Unless you feel strange about wearing it.
Person1: No.  I mean, I remember Mrs. Ansel wearing some of this stuff, but...I don't feel funny about that.  I really liked her.
Person2: And she really liked you.  She would've given you all this if she'd outgrown it, or...",nan,0,['Safe / No Manipulation'],0,No clear manipulative intent detected.
138,"Person1: It's all over, J.D. Help me to stop it.
Person2: You want to wipe the slate clean as much as I do. Okay, so maybe I am killing everyone in the school because nobody loves me. You have a purpose though! Remember? Let's face it, the only place different social types can genuinely get along with each other is in heaven.",Rationalization,1,"['Persuasion or Seduction', 'Intimidation', 'Shaming or Belittlement']",1,"manip_score=0.823; Persuasion or Seduction=0.977, Intimidation=0.970, Shaming or Belittlement=0.941"
139,"Person1: Now do you want the good news first or the bad news?
Person2: You better start making sense!
Person1: Ok, I will.  The bad news is the ship is history.  Life support will last another 36 hours, maybe.
Person2: Then we've got to get to the lifepods!
Person1: I'd advise you to shut up and let me finish Taylor.  You needn't worry about the lifepods because they're all gone, jettisoned. Save for one.",nan,0,"['Intimidation', 'Persuasion or Seduction', 'Shaming or Belittlement']",1,"manip_score=0.692; Intimidation=0.983, Persuasion or Seduction=0.903, Shaming or Belittlement=0.902"
140,"Person1: She's gone already!  Gone already! Couldn't wait.
Person2: Yes.
Person1: That's all you got to say? ""Yes"".
Person2: Yes.
Person1: She won't be here for a half hour. Think you can stand it that long?
Person2: Yes.
Person1: Where do you expect to wait for her? Obviously downstairs with the other kids isn't good enough.",Shaming or Belittlement,1,['Safe / No Manipulation'],0,No clear manipulative intent detected.
141,"Person1: I don't owe you anything; you don't owe me anything.  We went to bed -- what was it? -- ten or fifteen times?  It wasn't memorable enough to carry any obligations.
Person2: Sometimes I really hate you.
Person1: Yeah?  Well why don't you find some friendly therapist and work some of that hostility out.  But take my advice.  Put a little more life into it than you usually do.",nan,0,"['Intimidation', 'Shaming or Belittlement', 'Persuasion or Seduction']",1,"manip_score=0.624; Intimidation=0.989, Shaming or Belittlement=0.975, Persuasion or Seduction=0.972"
142,"Person1: I gave you that tongue and I can rip it out!
Person2: No, I really like my tongue... we're very attached.  Oyyyy... Okay, now... promise you won't get angry.
Person1: Why would I ever be angry with you, little friend?","Intimidation,Brandishing Anger",1,"['Intimidation', 'Accusation', 'Shaming or Belittlement']",1,"manip_score=0.865; Intimidation=0.998, Accusation=0.973, Shaming or Belittlement=0.951"
143,"Person1: No they won't.
Person2: Why not?
Person1: I'll talk to them.
Person2: Oh...Gooood!
Person1: I'll tell you what to say.
Person2: If I get you back to the lab, will you get out of my head?
Person1: If I'm real, they'll get me out. If I'm not, they'll treat you. Either way you'll be better off than you are now. You'll get a reward.",Persuasion or Seduction,1,"['Intimidation', 'Persuasion or Seduction', 'Shaming or Belittlement']",1,"manip_score=0.702; Intimidation=0.991, Persuasion or Seduction=0.990, Shaming or Belittlement=0.946"
144,"Person1: I missed you.
Person2: It says here you exposed yourself to a group of freshmen girls.
Person1: It was a bratwurst.  I was eating lunch.
Person2: With the teeth of your zipper?",Rationalization,1,"['Shaming or Belittlement', 'Accusation', 'Intimidation']",1,"manip_score=0.891; Shaming or Belittlement=0.961, Accusation=0.948, Intimidation=0.947"
145,"Person1: Oh no, not you again.
Person2: What an adorable hat.
Person1: They think I have a concussion.
Person2: And you think you're in love.
Person1: I know it.
Person2: This ""love"" of yours will soon wear off. I gave you a temporary love potion.
Person1: Why should I believe you?
Person2: It's the truth. In twenty-four hours you'll forget all about that girl.",nan,0,"['Persuasion or Seduction', 'Intimidation', 'Shaming or Belittlement']",1,"manip_score=0.723; Persuasion or Seduction=0.940, Intimidation=0.934, Shaming or Belittlement=0.897"
146,"Person1: You were intimate with that guy?
Person2: Yeah. How do you think I know he liked...
Person1: But you said you've only been with three guys! You never mentioned him!
Person2: That's because I never went all the way with him!
Person1: You were intimate with him!
Person2: We dated a few times. We didn't go all the way, but we got close.
Person1: Oh my gosh! Why did you tell me you only were with three guys?
Person2: Because that's true for full intimacy! That doesn't mean I didn't have other kinds of closeness with people.
Person1: Oh my gosh�I feel so upset...
Person2: I'm sorry, Dante. I thought you understood.
Person1: I did understand! I understood you were with three different guys, and that's all you mentioned.
Person2: Please, try to relax.
Person1: How many?
Person2: Dante...
Person1: How many people have you been close with in that way?
Person2: Let's not dwell on this...
Person1: HOW MANY?
Person2: Alright! Just give me a moment and I'll tell you! Goodness! I didn't get upset like this when you told me about your past relationships.
Person1: This is different. This is important. How many?!","Evasion,Feigning Innocence,Rationalization",1,"['Accusation', 'Persuasion or Seduction', 'Intimidation']",1,"manip_score=0.530; Accusation=0.968, Persuasion or Seduction=0.962, Intimidation=0.949"
147,"Person1: Do you remember the last time we had a quiet drink? I had a milk shake.
Person2: Hmmm... What did we talk about?
Person1: We didn't talk. We never talked.
Person2: And do I detect a rebuke?
Person1: A regret. It was just the two of us, Dad. It was a lonely way to grow up. For you, too. If you had been an ordinary, average father like the other guys' dads, you'd have understood that.
Person2: Actually, I was a wonderful father.
Person1: When?",Accusation,1,['Safe / No Manipulation'],0,No clear manipulative intent detected.
148,"Person1: What the hell is that for?
Person2: The bags under your eyes. You're an attractive man, but you need to take better care of yourself.
Person1: I don't --  Do that stuff.
Person2: Well, you should -- If you look good, you feel good and if you feel good, you project joy into the world.
Person1: Projecting joy is not my job.
Person2: Fine. Sorry I brought it up.",Persuasion or Seduction,1,"['Shaming or Belittlement', 'Accusation', 'Persuasion or Seduction']",1,"manip_score=0.574; Shaming or Belittlement=0.951, Accusation=0.928, Persuasion or Seduction=0.912"
149,"Person1: Come on, Fran -- don't be like that. You just going to sit there and keep bawling?  You won't talk to me, you won't tell me what's wrong --  Look, I know you think I'm stalling you. But when you've been married to a woman for twelve years, you don't just sit down at the breakfast table and say ""Pass the sugar -- and I want a divorce."" It's not that easy.  Anyway, this is the wrong time. The kids are home from school -- my in- laws are visiting for the holidays -- I can't bring it up now.  This isn't like you, Fran -- you were always such a good sport -- such fun to be with --
Person2: Yeah -- that's me. The Happy Idiot -- a million laughs.
Person1: Well, that's more like it. At least you're speaking to me.
Person2: Funny thing happened to me at the office party today -- I ran into your secretary -- Miss Olsen. You know -- ring-a-ding-ding? I laughed so much I like to died.
Person1: Is that what's been bothering you -- Miss Olsen? That's ancient history.
Person2: I was never very good at history. Let me see -- there was Miss Olsen, and then there was Miss Rossi -- no, she came before -- it was Miss Koch who came after Miss Olsen --
Person1: Now, Fran --
Person2: And just think -- right now there's some lucky girl in the building who's going to come after me --
Person1: Okay, okay, Fran. I deserve that. But just ask yourself -- why does a man run around with a lot of girls? Because he's unhappy at home -- because he's lonely, that's why -- all that was before you, Fran -- I've stopped running.","Rationalization,Persuasion or Seduction",1,"['Persuasion or Seduction', 'Playing the Victim Role', 'Shaming or Belittlement']",1,"manip_score=0.598; Persuasion or Seduction=0.947, Playing the Victim Role=0.925, Shaming or Belittlement=0.921"
150,"Person1: I wanted to tell you my plan.
Person2: So tell me.
Person1: I thought I might come back. In the New Year. Under my own steam.
Person2: Really? To Italy?
Person1: Of course. Let's say, for argument's sake, you were here -- perhaps we could split the rent on a house -- I'll get a job -- or, better still, I could get a place in Rome and when we're there we could be there and if we're here we could be here --
Person2: Oh God, I don't think so.
Person1: You see, particularly with the Marge problem, you can just blame me.
Person2: Marge and I are getting married.
Person1: How?
Person2: How?
Person1: Yesterday you're ogling girls on the terrace, today you're getting married. It's absurd.
Person2: I love Marge.
Person1: You love me and you're not marrying me.
Person2: Tom, I don't love you.
Person1: No, no, it's not a threat, I've explained all of that.
Person2: I'm actually a little relieved you're going, to be honest. I think we've seen enough of each other for a while.",nan,0,"['Persuasion or Seduction', 'Accusation', 'Shaming or Belittlement']",1,"manip_score=0.630; Persuasion or Seduction=0.977, Accusation=0.964, Shaming or Belittlement=0.952"
151,"Person1: I don't know what kind of game you're playing here but I'm out because you are a whack-job.
Person2: He was working on something called Project Manticore, which was using recombinant DNA to produce a superior human...a warrior...an advanced infantry soldier.
Person1: Not that I don't enjoy a good urban legend now and then but what does any of this have to do with me?
Person2: The bar code on your neck, Max.  I know who you are and I know who you're running from.","Shaming or Belittlement,Intimidation",1,"['Intimidation', 'Shaming or Belittlement', 'Persuasion or Seduction']",1,"manip_score=0.819; Intimidation=0.967, Shaming or Belittlement=0.942, Persuasion or Seduction=0.834"
152,"Person1: What's going on?
Person2: I'm going to throw out these old videos.
Person1: No.  You can't bin these.  They're classics.  I'm not allowing this.
Person2: Right -- let's talk about rent...
Person1: Let me help.  We don't want all this shit cluttering up our lives.",Intimidation,1,['Safe / No Manipulation'],0,No clear manipulative intent detected.
153,"Person1: You set up the line-up.
Person2: Mr. Soze made a few calls, yes. You were not to be released until I came to see you. It seems Mr. Keaton's attorney, Ms. Finneran, was a bit too effective in expediting his release. Holding the rest of you became a moot point.
Person1: What about Redfoot?
Person2: Mr. Redfoot knew nothing. Mr. Soze rarely                 t works with the same people for very long, and they never know who they're working for. One cannot be betrayed if one has no people.",nan,0,"['Persuasion or Seduction', 'Intimidation', 'Accusation']",1,"manip_score=0.618; Persuasion or Seduction=0.930, Intimidation=0.914, Accusation=0.894"
154,"Person1: I swear it. By Excalibur and the holy--
Person2: --What issues from your lust will be mine. Swear it again.
Person1: I swear it.",nan,0,"['Intimidation', 'Persuasion or Seduction', 'Accusation']",1,"manip_score=0.652; Intimidation=0.986, Persuasion or Seduction=0.968, Accusation=0.935"
155,"Person1: Is it true that you launched an attack on Paris?
Person2: I tried to.
Person1: It was on a Sunday, wasn't it?
Person2: I don't remember.  Maybe.
Person1: Do you think is was a good idea to launch an attack on a holy day?
Person2: I don't know...
Person1: And didn't you order the citizens of Paris to surrender the city in the name of the King of Heaven?
Person2: No... I said ""Surrender in the name of the King of France""...
Person1: That is not what is written in the evidence... look for yourself!",Denial,1,['Safe / No Manipulation'],0,No clear manipulative intent detected.
156,"Person1: Face it! Confess it! You're weak!
Person2: I'm not!
Person1: You're afraid!
Person2: I'm not!
Person1: You don't want to show your whole soul -- ugly, mis-shapen, and pitiful -- you don't want to show it --
Person2: God damn it, Clifford, will you shut up! I tell you, I want to give these things! I want to give them to the audience, and I can give them, I will give them, so shut up!","Shaming or Belittlement,Accusation",1,"['Intimidation', 'Shaming or Belittlement', 'Accusation']",1,"manip_score=0.792; Intimidation=0.998, Shaming or Belittlement=0.996, Accusation=0.995"
157,"Person1: Well?  Was ""Vicki"" right?  About your difficulty with duality?
Person2: If I said yes, then you might think me a Norman Bates, or a Ted Bundy type ... and then you might not let me kiss you.",nan,0,"['Intimidation', 'Shaming or Belittlement', 'Persuasion or Seduction']",1,"manip_score=0.955; Intimidation=0.994, Shaming or Belittlement=0.986, Persuasion or Seduction=0.913"
158,"Person1: What's this?
Person2: What does it look like?
Person1: How long have you had it?
Person2: Years, why?
Person1: It's against the law to cross the border with a gun. The Canadian police might like to know about this.
Person2: You already have the checks, darling.
Person1: I didn't mean it that way  I'm sorry.
Person2: Oh, forget it. Clark Brandon's throwing a party up in his penthouse this evening. Take me?
Person1: Of course.
Person2: How about your new friend?
Person1: I told you she's just..
Person2: A girl you meet on the train. Excuse my bringing it up again.  Be back in an hour. Right?
Person1: Right.
Person2: In an hour, Larry.",Feigning Innocence,1,"['Persuasion or Seduction', 'Intimidation', 'Shaming or Belittlement']",1,"manip_score=0.548; Persuasion or Seduction=0.984, Intimidation=0.951, Shaming or Belittlement=0.936"
159,"Person1: Don't get all worked up, Justin. I expected some common sense on your part and clearly I was expecting too much. Just open the drawer.
Person2: We never should have done this to him...
Person1: Well, what are we gonna do about it now?","Shaming or Belittlement,Accusation",1,"['Intimidation', 'Accusation', 'Persuasion or Seduction']",1,"manip_score=0.728; Intimidation=0.951, Accusation=0.933, Persuasion or Seduction=0.920"
160,"Person1: Your fear of him was real.  That's all the ghost anyone needs.
Person2: How could you do this to people?",Accusation,1,"['Accusation', 'Intimidation', 'Shaming or Belittlement']",1,"manip_score=0.872; Accusation=0.920, Intimidation=0.863, Shaming or Belittlement=0.831"
161,"Person1: Oh, well...those are...I mean, we don't get to keep our work.  I could maybe ask them if you could choose one.  But, you know, frankly George, you were the best. Computer models can't begin to match the beauty you gave yours.  They're a part of this firm.  They inspire me.  I go out there and sometimes just stare at something I've designed.  It amazes me. I would miss that too much.  Look, I may be going out on a limb, but you go out there and look them over, every single one of them and pick the one you like the best and take it with you. Just run it by me first, just in case, you know...but I'm sure it'll be okay.
Person2: Thank you.
Person1: Well, it's the least I can do.
Person2: Yes, it is.",nan,0,"['Persuasion or Seduction', 'Intimidation', 'Rationalization']",1,"manip_score=0.522; Persuasion or Seduction=0.841, Intimidation=0.801, Rationalization=0.758"
162,"Person1: Goddamnit, Harry.  This is our butts.  So your life is in the toilet.  So your wife is banging a used car salesman.  Sure it's humiliating.  But be a man here--
Person2: You tell on me, I tell on you.
Person1: Whatya talking?  I'm clean as a preacher's sheets, babe.  Clean as a --
Person2: What about that time you trashed a six-week operation because you were busy getting a blow-job?
Person1: You know about that?","Denial,Intimidation",1,"['Intimidation', 'Shaming or Belittlement', 'Accusation']",1,"manip_score=0.751; Intimidation=0.997, Shaming or Belittlement=0.996, Accusation=0.991"
163,"Person1: You're damn right it's not like that! Because I won't let it be like that! You want your flirt? Fine! The flirt is yours!
Person2: I don't want Caitlin...
Person1: You don't know what you want, but I'm not going to sit here anymore holding your hand until you figure it out! I've encouraged you to get out of this lousy dump and go back to school, to take charge of your life and find direction. I even transferred so maybe you would be more inclined to go back to college if I was with you. Everyone said it was a stupid move, but I didn't care because I loved you and wanted to see you pull yourself out of this senseless funk you've been in since that woman dumped you, oh so many years ago. And now you want to go back to her so she can mess with you some more?
Person2: I don't want to go back with her...
Person1: Of course not; not now! You're caught, and now you're trying to snake out of doing what you wanted to do. Well, I won't let you. I want you to follow through on this, just so you can find out what a ridiculous idiot you are. And when she dumps you again- and she will, Dante, I promise you that-when she dumps you again, I want to laugh at you, right in your face, just so you realize that that was what you gave up our relationship for!  I'm just glad Randal had the balls to tell me, since you couldn't.
Person2: Randal...?
Person1: And having him tell me... that was just the weakest move ever. You're spineless.
Person2: Veronica, I love you...
Person1: Forget you.","Shaming or Belittlement,Brandishing Anger",1,"['Intimidation', 'Shaming or Belittlement', 'Persuasion or Seduction']",1,"manip_score=0.700; Intimidation=0.981, Shaming or Belittlement=0.978, Persuasion or Seduction=0.952"
164,"Person1: Keep stallin'.
Person2: Alright, I'm coming...hold on.",nan,0,"['Shaming or Belittlement', 'Intimidation', 'Persuasion or Seduction']",1,"manip_score=0.668; Shaming or Belittlement=0.961, Intimidation=0.958, Persuasion or Seduction=0.931"
165,"Person1: I've loved you ever since I first laid eyes on you, Jeremiah. I've just always been too scared to show it.
Person2: Beth, I can't believe you just said that because that's exactly how I've always felt about you... Call me Jam. It's my band name.
Person1: You don't know how long I've been waiting to hear that... Jam!",nan,0,"['Persuasion or Seduction', 'Intimidation', 'Shaming or Belittlement']",1,"manip_score=0.598; Persuasion or Seduction=0.824, Intimidation=0.808, Shaming or Belittlement=0.614"
166,"Person1: Look, if I made you nervous or uncomfortable or creeped you out--
Person2: Yes on all counts.
Person1: I'm sorry.  It wasn't my intention.  But I had to see you.
Person2: You'd think a guy who's taken on the job of saving the world would have a few more important things to do than traipse around after some girl.
Person1: I haven't been able to get you off my mind.
Person2: You need to get out more.
Person1: C'mere, I want to show you something.","Feigning Innocence,Persuasion or Seduction",1,"['Persuasion or Seduction', 'Accusation', 'Intimidation']",1,"manip_score=0.688; Persuasion or Seduction=0.961, Accusation=0.960, Intimidation=0.952"
167,"Person1: You can't stay here. There's snakes and it's cold and you'll just get sicker.
Person2: I don't care.
Person1: Suppose that Lednov was to have found you, instead of me. Why you wouldn't have had a chance.
Person2: I said I didn't care.
Person1: What's botherin' you, anyway?","Playing Servant Role,Rationalization",1,"['Intimidation', 'Shaming or Belittlement', 'Persuasion or Seduction']",1,"manip_score=0.595; Intimidation=0.992, Shaming or Belittlement=0.975, Persuasion or Seduction=0.949"
168,"Person1: Where you been all day?
Person2: I took the kids to my sister's.
Person1: I called. You weren't there.
Person2: I got bored so I went to the movies.
Person1: What'd you see?
Person2: I went to the movies.
Person1: What'd you see?
Person2: ""Father of the Bride.""
Person1: What was it about?
Person2: Oh, c'mon. For Christsake, do I have to tell you everything?
Person1: Did you ever go to the Copa when I was away?
Person2: What're you talking about?
Person1: Answer me when I talk to you. What happened that night?
Person2: I am answering...
Person1: What do I have to do to get a straight answer around here.","Denial,Evasion,Feigning Innocence",1,"['Intimidation', 'Persuasion or Seduction', 'Accusation']",1,"manip_score=0.555; Intimidation=0.961, Persuasion or Seduction=0.956, Accusation=0.945"
169,"Person1: I had an unfortunate little run-in with him today. In fact...you might say that Mr. Tyler is in big trouble with the...authorities.
Person2: You better not mess with me, Rhodes. I'd love to serve your balls to those Red Coats for lunch! Think about it!
Person1: No, Miss Science. You're the one who needs to do some thinking.",Intimidation,1,"['Intimidation', 'Shaming or Belittlement', 'Persuasion or Seduction']",1,"manip_score=0.770; Intimidation=0.975, Shaming or Belittlement=0.974, Persuasion or Seduction=0.918"
170,"Person1: What?
Person2: Would you like to sit on my lap?
Person1: No thank you.
Person2: Are you sure?
Person1: I'm sure. Thank you all the same.
Person2: That's okay... doesn't matter.
Person1: Do you want me to sit on your lap?",Persuasion or Seduction,1,['Safe / No Manipulation'],0,No clear manipulative intent detected.
171,"Person1: Don't, Beth.
Person2: But I have to, Norman.
Person1: I promise --
Person2: Promise what, Norman?  Tell me!
Person1: Beth --
Person2: You think I'd belive you?  Believe anything you might say now?  After you lied to me about telling Barnes about my past.  About my problems.  My problems.  Not yours.  Not his.  Mine.
Person1: Don't, Beth.  Please.
Person2: It's either this... or I kill you.","Intimidation,Brandishing Anger,Accusation",1,"['Intimidation', 'Persuasion or Seduction', 'Accusation']",1,"manip_score=0.687; Intimidation=0.991, Persuasion or Seduction=0.979, Accusation=0.967"
172,"Person1: They're putting together an agency oversight committee.  They're going to look through everyone's budgets. Treadstone is a rather sizable line item in my ledger.  What am I going to do about that?
Person2: You'd want to make that go away. You'd want to remind them that Treadstone is a training organization.  That it's all theoretical.  You'd want to sign off on that.
Person1: And what if I couldn't do that?
Person2: Then I'd have to explain Treadstone. And you'd have to explain how you let me get this far.  Doesn't sound like much of a Plan-B, does it?  We'll clean up the field.  You clean up your budgets.","Intimidation,Persuasion or Seduction",1,"['Intimidation', 'Persuasion or Seduction', 'Shaming or Belittlement']",1,"manip_score=0.701; Intimidation=0.970, Persuasion or Seduction=0.960, Shaming or Belittlement=0.931"
173,"Person1: Marry Christmas.
Person2: Thank you.  I thought you were avoiding me.
Person1: What gave you that idea?
Person2: In the last six weeks you've only been in my elevator once -- and then you didn't take your hat off.
Person1: Well, as a matter of fact, I was rather hurt when you stood me up that night --
Person2: I don't blame you. It was unforgivable.
Person1: I forgive you.
Person2: You shouldn't.
Person1: You couldn't help yourself. I mean, when you're having a drink with one man, you can't just suddenly walk out on him because you have another date with another man. You did the only decent thing.
Person2: Don't be too sure. Just because I wear a uniform -- that doesn't make me a Girl Scout.
Person1: Miss Kubelik, one doesn't get to be a second administrative assistant around here unless he's a pretty good judge of character -- and as far as I'm concerned, you're tops. I mean, decency-wise -- and otherwise-wise.  Cheers.
Person2: Cheers.",nan,0,['Safe / No Manipulation'],0,No clear manipulative intent detected.
174,"Person1: Well, whatever you think.
Person2: I figured out exactly why it is I'm so hung up on getting a chance at weekend anchor...It's because if I do that well, they'll pay me more, treat me great and my life will be better.  That's why.
Person1: Sounds like you may be on to something.
Person2: Which means I'm at their mercy and who wants that?...I'm not going to tell you where this thought led me... Anyway, well, why not  tell you? -- it's a happy thing.  In the middle of all this I start to think about something that does nothing but make me feel good and makes immediate sense and that's you ...And I'll stop here but, Jane, I'd give anything if you were two people so I could call up the one who's my friend and tell her about the one I'm in I...I don't think I should go any further.  Come on -- I'll walk you to the corner.",nan,0,"['Persuasion or Seduction', 'Rationalization', 'Intimidation']",1,"manip_score=0.684; Persuasion or Seduction=0.945, Rationalization=0.802, Intimidation=0.668"
175,"Person1: Hey now, look!  Let's all get on the same page here.  This shipment is do or die for Zimmermann's syndicate; all or nothing.  If we stop the drugs, we don't even have to catch him red-handed.  He's ruined cause his pushers go broke with nothing to sell.  On the other hand, if we mess this up, it means more zombies crawling the gutters than ever and a morgue that doesn't have a single empty drawer.  More old ladies getting mugged and molested by junk-hungry needle-freaks, and all the while Zimmermann's sitting back and laughing his head off.
Person2: There'll be other chances.
Person1: Not like this.  Are you even listening?",nan,0,"['Intimidation', 'Shaming or Belittlement', 'Accusation']",1,"manip_score=0.526; Intimidation=0.941, Shaming or Belittlement=0.869, Accusation=0.812"
176,"Person1: Calvin, I wish you would have at least let me do the dishes. It's not going to be that easy getting all that dried- on food off my nice plates.
Person2: I just hope those plates aren't radioactive by tomorrow morning.
Person1: Cheese is particularly troublesome.
Person2: Worse than your Kraft Holiday dip?
Person1: Oh, much worse. But not as bad as that Mexican Jumping Bean dip. You remember that?
Person2: Yeah, yeah. Okay.  Give me the roast and watch your step.  I'll come back for the radio.",nan,0,"['Shaming or Belittlement', 'Intimidation', 'Persuasion or Seduction']",1,"manip_score=0.632; Shaming or Belittlement=0.943, Intimidation=0.923, Persuasion or Seduction=0.920"
177,"Person1: Yea...It's great...seems like...I don't know you've got all the important stuff in there.
Person2: All right then. It's refreshing to see two young people not afraid of real commitment. Will you have friends or family saying words - singing or anything?
Person1: Are we supposed to?
Person2: It's not a question of supposed to, it's an entirely personal decision... Some do some don't.",nan,0,['Safe / No Manipulation'],0,No clear manipulative intent detected.
178,"Person1: Yummy. Carl says if I lose ten pounds, he'll take me to the University of Maryland Fall Mixer.
Person2: Misty, if you want to lose weight go ahead, but do it for yourself, not for some boy you barely know.",nan,0,"['Shaming or Belittlement', 'Intimidation', 'Persuasion or Seduction']",1,"manip_score=0.780; Shaming or Belittlement=0.979, Intimidation=0.937, Persuasion or Seduction=0.930"
179,"Person1: Get up out of the chair, Richard.
Person2: What's with you people? Why do ya have to mess with my head all the time? I came through, man.
Person1: Get up out of the chair, and walk toward the backdoor, Richard.
Person2: I get thrown in solitary until I don't know my own darn name, and then you people tell me I can beat nine years if I help you. I helped you!
Person1: Get up!","Brandishing Anger,Accusation",1,"['Intimidation', 'Shaming or Belittlement', 'Persuasion or Seduction']",1,"manip_score=0.787; Intimidation=0.991, Shaming or Belittlement=0.975, Persuasion or Seduction=0.951"
