Original_Index,Text,True_Label,Extracted_Intent,AI_Predicted_Label,AI_Predicted_Text
56,"Person1: You will not set me on another walk down memory lane.  Not this lane. Not today.
Person2: I didn't --
Person1: Why do I tell you this?  I never told David.  I never even remembered it until you got me going.
Person2: You're the one who started it.
Person1: You're very clever, Mr. Boone.  You just sit there and let me talk. What a sorry old man, you're thinking.  What a crazy old poof.  Why are you here?  What do you want from me?
Person2: You asked me to model.  Remember?
Person1: Of course I remember.  Do you think I'm so senile --",10,"The underlying intent of the speaker (Person1) is to express frustration and defensiveness, particularly towards Person2, implying that Person2 is manipulating or exploiting Person1's memories and emotions for unknown purposes.",7,Shaming or Belittlement
57,"Person1: I know you feel awful but it's not your responsibility.
Person2: Then whose is it?
Person1: You gotta just look the other way.
Person2: I'm sorry.  You'll do all right without me.  Keep my share.",0,"The underlying intent of Person1 is to shift the responsibility and emotional burden away from themselves and onto Person2, while also attempting to avoid taking any action to help or support Person2.",5,Playing the Victim Role
58,"Person1: I didn't mean... with me. Alice and Silky, they'll give you one... if you want.
Person2: I... I guess not.  I didn't mean I didn't want one 'cause of you bein' cut up. I didn't mean that.",0,"The underlying intent of the speaker appears to be an attempt to reassure Person1 that their decision not to accept an offer was not motivated by Person1's physical condition, but rather by a separate reason.",4,Rationalization
59,"Person1: Karen and I just don't want an accident-
Person2: I have no intention of having an accident!
Person1: It's not important whether you do. We are wearing long underwear.",0,"The underlying intent of the speaker (Person1) is to convey a sense of concern and caution, likely in a humorous or ironic way, suggesting that even if Person2 is careful, the speaker is taking extra precautions to avoid an accident.",4,Rationalization
60,"Person1: You don't have the demographics.
Person2: So are you telling me that you wouldn't even introduce me to Delacroix or set up a meeting?  I'm talking 'bout me, your only brother, ya own flesh and blood, hook a brother up, youknowwhatI'msayin'.
Person1: That'swhatI'msayin'.  I'm not blowin' my young career, brother or no brother, for you or anybody else.
Person2: There is a name, a term for your kind, the likes of you.  Back in slavery days, you would be classified as a house nigga.
Person1: If you think I'm a house nigga then that's your prerogative.  You got your ways to affect change, I have mine.  And I would appreciate it very much if you took ya field nigga ass out of my house.
Person2: My own sister throwin' me out.  I hope to seeya later when you get ya mind right.  Don't bother letting me out.
Person1: That's mighty black of you.",0,"The underlying intent of the speaker (Person1) is to assert their independence and prioritize their own career goals over their familial obligations and their brother's (Person2) expectations, while also subtly criticizing and distancing themselves from Person2's perceived lack of ambition and self-respect.",7,Shaming or Belittlement
61,"Person1: What is that?
Person2: Microrecorder for Kendall -- didn't have time to wire his room. Now tell me why you joined the army or I'll jab this pen through your neck.",8,"The underlying intent of Person2 in this conversation appears to be a veiled threat, using intimidation and aggression to force Person1 to comply with their request to share information about joining the army.",8,Intimidation
62,"Person1: If you're going to openly be a troublemaker....
Person2: I'm sorry, it's just why can't we talk to different kinds of people?
Person1: Surprise me gently with a chainsaw. Do I look like Mother Theresa? If I did, I probably wouldn't mind talking to the Geek Squad.",0,"The speaker (Person1) is expressing frustration and sarcasm, implying that they are not interested in engaging with people they perceive as annoying or uninteresting, such as the Geek Squad.",7,Shaming or Belittlement
63,"Person1: Everyone knows what we look like, Dennis. We won't be able to hide.
Person2: Jesus, first Mars, now you.  You two need anti-depressants.",0,"The underlying intent of Person2 in this conversational text appears to be mocking or ridiculing Person1 and possibly another individual (referred to as ""you two"") for their perceived anxiety or paranoia about being recognized, implying that their concerns are irrational or excessive.",7,Shaming or Belittlement
64,"Person1: It was all bullshit. All of it. From the start... you set us up, got us in here to do your dirty work.
Person2: That's right, I set you up. You're a veteran at this, Dutch, I had to.
Person1: Why us?
Person2: Because I told you, you're the best. I knew you could do it but I couldn't get you in here without a cover story.
Person1: What story did you give to Davis?
Person2: We've been lookin' for this place for months. The chopper must have gotten close when they got shot down. Hopper was sent in to get my men. He was just doing his job. When he disappeared I had to clean this up, I had to stop there bastards. We were so close, we couldn't quit. We couldn't sleep through this one. I needed you, Dutch, can't you see that?",0,"The speaker, Person2, is attempting to justify and manipulate Person1, Dutch, into believing that their involvement in a covert operation was necessary and that Person2 had no other choice but to use them for their skills.",4,Rationalization
65,"Person1: Your girl's a menace.  Here, givver this... Getter off the street and teach her some humility.
Person2: I don't think so...
Person1: Well, then, you have insufficient information.  I'm grateful for this opportunity to set you straight.",0,"The speaker's underlying intent appears to be condescending and superior, as they attempt to lecture and correct Person2, implying that they are in a position of authority or knowledge, and that Person2 is uninformed or misguided.",7,Shaming or Belittlement
66,"Person1: A bad mother. By any standards. I've thought about it, you know, from your side, since then. I know just how bad I was.
Person2: Uh-huh.
Person1: I wonder did you ever think about it from my side.
Person2: Never.
Person1: No, I guess not. It was pretty lousy of me, I guess, to be a child at the same time you were. Not to stop being a child just because I had a child. I guess I was a real stinker not to be a grown-up when you needed a grown-up.",0,"The speaker is expressing regret and self-awareness about their past behavior as a mother, acknowledging their own shortcomings and immaturity at the time, and seeking understanding and validation from the other person.",3,Feigning Innocence
67,"Person1: Please continue, Sergeant.
Person2: Dizzy wouldn't want our tears. She'd want us to remember her... with a vengeance. So go out and kill a bug for Dizzy. Kill as many as you can. You are her revenge, and every bug you kill honors her death.",11,"The speaker's underlying intent is to motivate and empower the listener to channel their grief and anger into a sense of purpose and revenge, using the memory of Dizzy as a catalyst for action.",11,Persuasion or Seduction
68,"Person1: I think I'm stupid.....All you do is use me and expect me to wait for you.
Person2: No.
Person1: I thought you loved me Doug but all you want from me is sex.",0,"The underlying intent of the speaker (Person1) appears to be expressing feelings of emotional hurt, betrayal, and low self-worth, suggesting that they feel used and unappreciated in their relationship with Person2 (Doug).",5,Playing the Victim Role
69,"Person1: I've seen lots of people.  It's not a big thing for me.
Person2: Hand me a towel.  I'm getting out.
Person1: I'm coming in.
Person2: I don't want you to!
Person1: We're not gonna do anything.
Person2: Why are you so stupid?
Person1: Why are you so uptight?
Person2: I don't even...what do you mean?  I don't even know what that means.
Person1: It means I'm gonna shampoo my hair and stay out of your way.
Person2: Hand me a towel.  Hand me a towel.",0,"The underlying intent of the speaker (Person2) appears to be a desire for personal space and solitude, as they repeatedly ask for a towel and express frustration with Person1's presence, despite Person1's reassurances that they will not intrude.",5,Playing the Victim Role
70,"Person1: I'm sorry, it was an accident.
Person2: When Ramesses destroyed Syria, it was an accident. You are a catastrophe! Why do I put up with you?",0,"The underlying intent of Person2 is to express extreme frustration and exasperation with Person1, implying that their actions or behavior are not just careless mistakes, but rather a consistent pattern of destructive and chaotic behavior.",7,Shaming or Belittlement
71,"Person1: When I thought about you I was mostly hating you. Where've you been hiding?
Person2: I haven't been hiding. I've been in Police custody. They've been trying to flush out Freddie's killer.
Person1: You're kidding.
Person2: They're letting me have this vacation. Which is why the get-up. Which is why you haven't heard from me.
Person1: You know, the whole world thinks you killed Freddie? It's terrible.
Person2: I know. Look, I can't talk now. Later. Later?",3,"The underlying intent of Person2 is to inform Person1 of their current situation, specifically being in police custody for a crime they claim they did not commit, while also trying to downplay the severity of the situation and maintain a sense of normalcy.",5,Playing the Victim Role
72,"Person1: I've just met with the bishop. We're taking you off the case.
Person2: You're what?
Person1: If we want to hire a psychiatrist for Agnes. we'll find our own, thank you.
Person2: One that will ask the questions you want asked.
Person1: One that will approach this matter with some objectivity and respect.
Person2: For the Church?
Person1: For Agnes.
Person2: You think she's a saint?
Person1: She's been touched by God, yes.
Person2: How?  How?  She hallucinates, stops eating and bleeds spontaneously. Is that supposed to convince me she shouldn't be touched. Give me a miracle.
Person1: The father!
Person2: Who is he?
Person1: Why must he be anybody?
Person2: My God, you're as crazy as...
Person1: Stop laughing, I don't say it's the truth, I'm saying...
Person2: How  ?
Person1: Don't be ridiculous.
Person2: Well give me a reasonable explanation
Person1: A miracle is an event without an explanation. If she's capable of putting a hole in her hand without benefit of a nail, why couldn't she split a cell in her womb?
Person2: This is insane.
Person1: There as no man in the convent on that night and no way for any man to get in or out.
Person2: You're saying God did it?",4,"The underlying intent of the speaker (Person1) is to defend and protect Agnes, a woman who is experiencing supernatural or unexplained phenomena, and to assert that her experiences are genuine and worthy of respect, rather than dismissing them as evidence of mental illness.",5,Playing the Victim Role
73,"Person1: And I love you too.
Person2: And love's a funny thing.  Sometimes I don't know if I want to love you...",2,"The underlying intent of Person2's statement appears to be a expression of uncertainty and vulnerability in their feelings for Person1, potentially hinting at underlying doubts or fears about the nature of their love.",5,Playing the Victim Role
74,"Person1: What the hell did you think you were doing?
Person2: You have a real gratitude problem. You know that, Bruce? I need a name. Batboy? The Dark Earl? What's a good side kick name?
Person1: How about Richard Grayson, college student?
Person2: ...I missed Two-Face by a heartbeat. When we catch him, you gotta let me kill him!
Person1: We don't kill. Killing is what damns you. It-. What am I talking about? This conversation is over. You're going away to school.
Person2: I saved your life. You owe me. So either you let me be your partner or I'm going after Harvey on my own.",8,"The underlying intent of the speaker (Bruce) is to assert his moral code and boundaries, while also trying to protect his secret identity and relationship with his mentor, Harvey, from his partner's (Dick's) increasingly violent and impulsive tendencies.",6,Playing the Servant Role
75,"Person1: C'mon, you two... Jacques, we have to get ready for the ceremony tonight.  We have a new world champion.
Person2: I'm a little tired, I don't know if...
Person1: Get in the car!",0,"The underlying intent of the speaker (Person1) is to assert authority and urgency, pushing Person2 to prioritize their responsibilities and obligations, specifically getting ready for the ceremony.",8,Intimidation
76,"Person1: It isn't in your hands, Mama. It's my life.
Person2: Yes, but important people are concerned about this. Judge Hillier spoke to Alma Styles --
Person1: I don't care.
Person2: ...You will.",0,"The underlying intent of Person2 is to convey a sense of authority and consequence, implying that Person1's actions have repercussions that cannot be ignored, despite Person1's assertion of independence.",8,Intimidation
77,"Person1: Thank you for showing it to me first. I'll... I'll take care of it. Can I have the picture?
Person2: Of course. There is one more thing, Mrs. Treborn. And I feel bad for mentioning it...
Person1: What?
Person2: When I asked Evan about his drawing, well, he didn't remember doing it.",0,"The underlying intent of Person2 is to subtly hint at a potential issue or concern, specifically that Evan may be experiencing memory loss or other problems, and is seeking Person1's (Mrs. Treborn) awareness and possibly her concern.",5,Playing the Victim Role
78,"Person1: It's true.
Person2: I'm tryin' to keep you from being hurt What more do you want?
Person1: Much more, Terry. Much, much more!",0,"The underlying intent of Person1 in this conversation is to convey a sense of frustration and unfulfilled expectations, implying that Person2's efforts to protect them are not sufficient or are not meeting their needs.",5,Playing the Victim Role
79,"Person1: You were quick enough to get Tom's help when...
Person2: Yes, yes.  I know.  Right.  And if it had gone well for me tonight, maybe I'd be keeping quiet about all this...I grant you everything but give me this...he does personify everything you've been fighting against...And I'm in love with you.  How do you like that? -- I buried the lead.",0,"The underlying intent of the speaker (Person2) is to reveal their romantic feelings for the other person (Person1) while also subtly criticizing their actions and values, suggesting a complex and potentially conflicted emotional state.",11,Persuasion or Seduction
80,"Person1: George... look me in the eye... George, you don't ever lie to me again.
Person2: I must trust you, Matthew.  I cannot stop this without you.",11,"The underlying intent of the speaker (Matthew) is to assert authority and demand honesty from George, implying a power imbalance or a situation where trust is crucial.",8,Intimidation
81,"Person1: 'The heir to the fortune must wear the Mayfair pendant an her wedding day.'  We should all have to suffer such burdens.
Person2: Then you wear it.
Person1: C'mon now - give a little nod to Mayfair tradition.",4,"The underlying intent of the speaker (Person1) is to subtly pressure Person2 into conforming to a family tradition, while downplaying the significance of the burden by suggesting it's a minor obligation.",6,Playing the Servant Role
82,"Person1: What made you do it? Who paid you off?
Person2: Nobody. I'm the maid!",0,"The underlying intent of Person2 is to convey that they are not involved in any illicit or suspicious activity, but rather are simply a maid who is being unfairly accused.",3,Feigning Innocence
